,Comune,Come dici grembiule?,Come dici maiale?,Come dici ciabatta?,Come dici orologio?,Come dici cotechino grigliato?,Come dici tasca?,Come dici ragnatela?,Come dici talpa?,Come dici coperchio?,Come dici Fiammifero?,Come dici Imbuto?,Come dici Roncola?,Come dici Pop Corn?,Come dici Sasso?,Come dici Gallina?,Come dici Albicocca?,Come dici Briciole?,Come dici Panettiere?,Come dici Macellaio?,Come dici Libellula?,Come dici Pettegola?,Come dici Scapolo?,Come dici l'Asso di Bastoni?,Come dici l'Asso di Coppe?,Come dici Ombelico?,Come dici Bagnato?,Come dici l'Asso di Ori?,Come dici l'Asso di Spade?,Come dici Fradicio?
0,Adrara San Martino,scossalina,Sunì,söbra,Relòi,Cudeghì,Scarsèla,Talamora,Tupina,Coèrcc,Fiamifer,Turtaröl,Podet,Nessun Dato,Plòch,Poia,Armignaga ,Migle,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,bigol,Bagnàt,la borla,l'ass de spade,Bagnàt
1,Adrara San Rocco,scossàl,Sunì,saàta,Nessun Dato,Cudeghì,Gaiòfa,Tilamora,Nessun Dato,Coèrcc,Fiamifer,Nessun Dato,Podet,s-cioparöle,Plòch,Galina,Nessun Dato,Nessun Dato,Nessun Dato,Bechér,Nessun Dato,petònega,Pöt,ol bastù,ol pisì,Nessun Dato,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
2,Albano Sant'Alessandro,scossàl,Sunì,sibra,Orolòi,Strinù,Scarsèla,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Podet,s-ciuparöle,Plòch,Poia,Albicòch,Migole,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
3,Albino,bigaröla,Sunì,sébra,Leròi,Strinù,Scarsèla,Telemora,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,s-cioparöle,Plòch,Poia,Bignaga,Migole,Fornér,Bechér,becaöcc,petònega,Pötvecc,ol vincerai,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
4,Algua,scossalina,Porsèl,sébra,Nessun Dato,Codeghì,Gaiòfa,Telemora,topinéra,Coèrcc,Solfanèl,Pedriöl,Podet,Nessun Dato,Plòch,Poia,Nessun Dato,Gandài,Panetèr,Bechér,Nessun Dato,petònega,Barba,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato,Nessun Dato
5,Alme,scossàl,Sunì,Nessun Dato,Relòi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Corlass,culumbine,Plòch,Poia,Bignaga,Fregói,Fornér,Macelér,becaöcc,petònega,Barba,l'ass de bastù,ol pisalobia,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
6,Almenno San Bartolomeo,scossàl,Ciù,sébra,Orolòi,Codeghì,Sacòcia,Tiramola,tópa,Coèrcc,Fiamifer,Pedriöl,Pigassa,colombine,Sàss,Poia,Bignaga,Migole,Fornér,Macelér,becaöcc,petònega,Barba,l'ass de bastù,ol pisì,butù,Bagnàt,la borla,l'ass de spade,Maserét
7,Almenno San Salvatore,scossàl,Ciù,sibra,Leròi,Codeghì,Scarsèla,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pigassa,culumbine,Sàss,Poia,Bignaga,Gandaie,Fornér,Bechér,becaöcc,petònega,Barba,l'ass de bastù,ol pisagì,butù,Bagnàt,ol borla,l'ass de spade,Maserét
8,Alzano Lombardo,bigaröla,Sunì,sibra,Orolòi,Strinù,Scarsèla,Tiramola,Nessun Dato,Coèrcc,Solfanèl,Pedriöl,Podet,colombele,Plòch,Poia,Bignaga,Migole,Fornér,Macelér,becaöcc,petònega,Pötvecc,l'ass de bastù,l'ass de coppe,butù,Bagnàt,l'ass de ori,l'ass de spade,Bagnàt
9,Ambivere,bigarla,Ciù,sébra,Orolòi,Cudeghì,Sacòcia,Tiramola,tópa,Coèrcc,Solfanèl,Pedriöl,Pigassa,colombine,"Sàss: sasso piccolo, Plòch: sasso grande",Poia,Mignaga,Gandaie,Fornér,Macelér,becaöcc,petònega,Barba,l'ass de bastù,ol pisì,butù,Bagnàt,la borla,l'ass de spade,Maserét
